"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","Darrell Arthur",4200,"Den@Dal 08:30PM ET",13.800,"Den"
"SF","Chandler Parsons",4200,"Den@Dal 08:30PM ET",14.318,"Dal"
"C","Meyers Leonard",4200,"LAL@Por 10:00PM ET",18.056,"Por"
"PF","Nene Hilario",4100,"Tor@Was 07:00PM ET",17.604,"Was"
"SG","Gary Harris",4100,"Den@Dal 08:30PM ET",18.438,"Den"
"PF","Kris Humphries",4000,"Tor@Was 07:00PM ET",15.288,"Was"
"C","Timofey Mozgov",4000,"Bkn@Cle 07:30PM ET",16.192,"Cle"
"PG","Lou Williams",3900,"LAL@Por 10:00PM ET",20.357,"LAL"
"PF","David West",3800,"Atl@SA 08:30PM ET",13.438,"SA"
"PF","J.J. Hickson",3800,"Den@Dal 08:30PM ET",15.883,"Den"
"PG","Cory Joseph",3800,"Tor@Was 07:00PM ET",18.547,"Tor"
"PG","Trey Burke",3700,"NO@Uta 09:00PM ET",18.536,"Uta"
"PG","Jameer Nelson",3600,"Den@Dal 08:30PM ET",17.196,"Den"
"PG","Patty Mills",3600,"Atl@SA 08:30PM ET",16.969,"SA"
"SG","Iman Shumpert",3600,"Bkn@Cle 07:30PM ET",0,"Cle"
"PG","Ramon Sessions",3500,"Tor@Was 07:00PM ET",17.269,"Was"
"PF","Patrick Patterson",3500,"Tor@Was 07:00PM ET",13.531,"Tor"
"SG","Ben McLemore",3500,"Sac@GS 10:30PM ET",12.926,"Sac"
"C","Willie Cauley-Stein",3500,"Sac@GS 10:30PM ET",15.103,"Sac"
"PF","Boris Diaw",3400,"Atl@SA 08:30PM ET",13.938,"SA"
"SG","Nick Young",3400,"LAL@Por 10:00PM ET",14.857,"LAL"
"SF","Bojan Bogdanovic",3400,"Bkn@Cle 07:30PM ET",15.133,"Bkn"
"PG","J.J. Barea",3300,"Den@Dal 08:30PM ET",17.391,"Dal"
